round,clue_value,daily_double_value,category_group,category,comments,answer,question,air_date
1,200,0,"Math, Science, Health",GIVING YOU SOME METALS,,"Composed of tin, copper & antimony, Britannia metal is this type of 5-letter mixture",an alloy,2023-01-02
1,400,2000,"Math, Science, Health",GIVING YOU SOME METALS,,"The second-most abundant metal in the Earth's crust, it's number one down in the core",iron,2023-01-02
1,600,0,"Math, Science, Health",GIVING YOU SOME METALS,,"Used to make very thin metallic leaf, Dutch metal is a yellowish mix of copper & this end-of-the alphabet element",zinc,2023-01-02
1,800,0,"Math, Science, Health",GIVING YOU SOME METALS,,Rubbings are hand-made copies of the engraved plates of this metal that adorned many an old tomb,brass,2023-01-02
1,1000,0,"Math, Science, Health",GIVING YOU SOME METALS,,"Symbol Pd, it shares its name with a legendary Greek statue & several famous theaters",palladium,2023-01-02
1,200,0,"Pop culture, Arts, Sports",THE DOCTOR WILL SEE YOU NOW,,"It calls itself ""The oldest major soft drink in America\""",Dr Pepper,2023-01-02
1,400,0,"Pop culture, Arts, Sports",THE DOCTOR WILL SEE YOU NOW,,"This Dr. was in when Blackstreet featured him on ""No Diggity\""",Dr. Dre,2023-01-02
1,600,0,"Pop culture, Arts, Sports",THE DOCTOR WILL SEE YOU NOW,,"Him: ""Austin Powers—he's the snake to my mongoose. Or the mongoose to my snake. Either way, it's bad. I don't know animals\""",Dr. Evil,2023-01-02
1,800,0,"Pop culture, Arts, Sports",THE DOCTOR WILL SEE YOU NOW,,This brand takes on plantar fasciitis with its custom fit orthotic inserts,Dr. Scholl's,2023-01-02
1,1000,0,"Pop culture, Arts, Sports",THE DOCTOR WILL SEE YOU NOW,,"\""The tragicall history"" tour is coming to take you away with this Christopher Marlowe play featuring Mephistopheles",Doctor Faustus,2023-01-02
1,200,0,"Math, Science, Health",LET THERE BE FROGS,,"A genus of frogs is called this type, presumably because they croak in unison like a group of actors speaking together in a play",chorus,2023-01-02
1,400,0,"Language Arts, Literature, Phrases",LET THERE BE FROGS,,A common phrase & relationship books say you've got to kiss a lot of frogs to find this,a prince,2023-01-02
1,600,0,"Pop culture, Arts, Sports",LET THERE BE FROGS,,This cartoon character was likely inspired by a reptile found alive inside a time capsule that was opened in 1928,Michigan J. Frog,2023-01-02
1,800,0,"Language Arts, Literature, Phrases",LET THERE BE FROGS,,"In ""The Jungle Book"", the mother wolf calls this fur-less character ""Little Frog\""",Mowgli,2023-01-02
1,1000,0,"Pop culture, Arts, Sports",LET THERE BE FROGS,,They hop to it as the sports teams for Texas Christian University,the Horned Frogs,2023-01-02
1,200,0,"History, Culture, Geography, Politics",GRAND OLE OPRY MEMBERS,,"Sadly, in 2022 we lost this ""Coal Miner's Daughter"", an Opry member for 60 years, at the age of 90",Loretta Lynn,2023-01-02
1,400,0,"History, Culture, Geography, Politics",GRAND OLE OPRY MEMBERS,,"He had ""Friends In Low Places"" in 1990; in 2018, 85,000 of them bought tickets to see him at Notre Dame Stadium",Garth Brooks,2023-01-02
1,600,0,"History, Culture, Geography, Politics",GRAND OLE OPRY MEMBERS,,"In 2001 this redheaded legend from Oklahoma got her own one-named sitcom, which ran for more than 100 episodes",Reba McEntire,2023-01-02
1,800,0,"History, Culture, Geography, Politics",GRAND OLE OPRY MEMBERS,,"Her first Top 40 country hit was ""Dumb Blonde"", which she clearly is not",Dolly Parton,2023-01-02
1,1000,0,"History, Culture, Geography, Politics",GRAND OLE OPRY MEMBERS,,"This Down Under man will be the judge of that! That, being ""American Idol"", from 2013 to 2016",(Keith) Urban,2023-01-02
1,200,0,"Language Arts, Literature, Phrases","3 LETTERS, STARTS WITH ""A\""",,Brew made with a top-fermenting yeast,an ale,2023-01-02
1,400,0,"Language Arts, Literature, Phrases","3 LETTERS, STARTS WITH ""A\""",,Yellowfin in Hawaii,ahi,2023-01-02
1,600,0,"Language Arts, Literature, Phrases","3 LETTERS, STARTS WITH ""A\""",,Toward the stern,aft,2023-01-02
1,800,0,"Language Arts, Literature, Phrases","3 LETTERS, STARTS WITH ""A\""",,"\""No Exit"" has but one",act,2023-01-02
1,1000,0,"Language Arts, Literature, Phrases","3 LETTERS, STARTS WITH ""A\""",,Khan you tell me it was a military commander in Ottoman times,aga,2023-01-02
1,200,0,"History, Culture, Geography, Politics",HISTORY COMES ALIVE WITH ERIK LARSON,"(Erik: I'm Erik Larson, with clues about some of the books in which I've tried to make history come alive.)","(Erik Larson presents the clue.) My bestseller ""The Devil in the White City"" told the incredible true story of how a prolific serial killer lured his victims using the 1893 World's Fair in this Midwest city",Chicago,2023-01-02
1,400,0,"History, Culture, Geography, Politics",HISTORY COMES ALIVE WITH ERIK LARSON,"(Erik: I'm Erik Larson, with clues about some of the books in which I've tried to make history come alive.)","(Erik Larson presents the clue.) In ""Dead Wake"", I explore the infamous 1915 torpedoing by a U-boat of this luxury liner; with a loss of over 1,000 lives, including some 130 Americans, that tragedy helped convince the U.S. to join World War I in 1917 on the side of the Allies",the Lusitania,2023-01-02
1,600,0,"History, Culture, Geography, Politics",HISTORY COMES ALIVE WITH ERIK LARSON,"(Erik: I'm Erik Larson, with clues about some of the books in which I've tried to make history come alive.)","(Erik Larson presents the clue.) My book ""The Splendid and the Vile"", set during the early days of World War II, takes readers inside Chequers, this prime minister's country home where he figured out how to keep his family & his nation together",Churchill,2023-01-02
